Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
5.595000000000000000e+02,3.186509425201381518e+01,-1.156256284628785735e+01,-2.547653668647248182e+00,3.181606326904911697e+01,-1.389583580128796392e+01,-2.680046671729982233e+00
5.596000000000000227e+02,3.186509425201381518e+01,-1.153256284628785799e+01,-2.536180339887445623e+00,3.181630350382248906e+01,-1.389514280983621042e+01,-2.700046537242055233e+00
5.597000000000000455e+02,3.186509425201381518e+01,-1.150256284628785863e+01,-2.524668907277064278e+00,3.181645660359190586e+01,-1.389467240966000183e+01,-2.720046476062995211e+00
5.598000000000000682e+02,3.186509425201381518e+01,-1.147256284628785750e+01,-2.513128689300750729e+00,3.181655335469760360e+01,-1.389435198867522381e+01,-2.740046448055379891e+00
5.598999999999999773e+02,3.186509425201381518e+01,-1.144256284628785636e+01,-2.501569181914504725e+00,3.181661288219836692e+01,-1.389413673670672367e+01,-2.760046435586142710e+00
5.600000000000000000e+02,3.186509425201381518e+01,-1.141256284628785700e+01,-2.489999999999947811e+00,3.202615812958394770e+01,-1.343187932991827793e+01,-2.476220777055770483e+00
5.601000000000000227e+02,3.186509425201381518e+01,-1.138256284628785764e+01,-2.478430818085390452e+00,3.202610558212929703e+01,-1.343118299467562338e+01,-2.486550426231272315e+00
5.602000000000000455e+02,3.186509425201381518e+01,-1.135256284628785650e+01,-2.466871310699142672e+00,3.202606624267029645e+01,-1.343071609429095581e+01,-2.506550371345306338e+00
5.603000000000000682e+02,3.186509425201381518e+01,-1.132256284628785536e+01,-2.455331092722829567e+00,3.202603582797102888e+01,-1.343040256050345427e+01,-2.526550346538168235e+00
5.603999999999999773e+02,3.186509425201381518e+01,-1.129256284628785600e+01,-2.443819660112449998e+00,3.202601064156574751e+01,-1.343019490921022907e+01,-2.546550335599811810e+00
5.605000000000000000e+02,3.186509425201381518e+01,-1.126256284628785664e+01,-2.432346331352646551e+00,3.202598880217241373e+01,-1.343005565370254573e+01,-2.566550330632547450e+00
5.606000000000000227e+02,3.186509425201381518e+01,-1.123256284628785551e+01,-2.420920190005157568e+00,3.202597334090948067e+01,-1.342996184222326406e+01,-2.586550328372636098e+00
5.607000000000000455e+02,3.186509425201381518e+01,-1.120256284628785437e+01,-2.409550028705629732e+00,3.202596147867007659e+01,-1.342990270055292612e+01,-2.606550327463023731e+00
5.608000000000000682e+02,3.186509425201381518e+01,-1.117256284628785501e+01,-2.398244294954098521e+00,3.202595146329937847e+01,-1.342986369746638786e+01,-2.626550327057636469e+00
5.608999999999999773e+02,3.186509425201381518e+01,-1.114256284628785565e+01,-2.387011039033346549e+00,3.202594065600685980e+01,-1.342983964791663354e+01,-2.646550326883841731e+00
5.610000000000000000e+02,3.186509425201381518e+01,-1.111256284628785451e+01,-2.375857864376218487e+00,3.207120268974431099e+01,-1.313570741528944552e+01,-2.361099635040184275e+00
5.611000000000000227e+02,3.186509425201381518e+01,-1.108256284628785338e+01,-2.364791880687949099e+00,3.207228581687494540e+01,-1.313055730566363444e+01,-2.372315463945595226e+00
5.612000000000000455e+02,3.186509425201381518e+01,-1.105256284628785401e+01,-2.353819660112450585e+00,3.207300956408987958e+01,-1.312710050996431477e+01,-2.392312345390826156e+00
5.613000000000000682e+02,3.186509425201381518e+01,-1.102256284628785465e+01,-2.342947196712867886e+00,3.207349076800280585e+01,-1.312477877693165063e+01,-2.412310939841066482e+00
