时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
1.040000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.817573455181883091e+01,-4.852187471101680138e+00,-1.576915165173540245e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.038431136859595538e+00,-6.034470271910355343e+00,-4.617778027452982492e+00
1.041000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.904871294792292602e+01,-3.292272457148880616e+00,-1.307188884168557941e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.207352789273805627e+00,1.244967898798351458e+00,-4.452343875848425725e+00
1.042000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.642169258260054221e+01,-4.477756579226471523e+00,-1.276349837464398007e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.679353370924067113e+00,-2.670945250666967308e+00,-5.252609715321019834e+00
1.043000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.883774480462262346e+01,-4.337238030077514850e+00,-1.548221152841135151e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.682203806049851647e+00,-2.444510671380450528e+00,-6.913266095561992231e+00
1.044000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.702657710791401868e+01,-2.881623197376134371e+00,-1.391394740084329840e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-8.074590605659718312e-01,-6.871128669230081032e-01,-4.296233213004190254e+00
1.045000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.696664184270310827e+01,-6.440602182876958182e+00,-1.784149911861900861e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.094749251123328548e+00,-6.302423425946051871e+00,-4.607854183101760981e+00
1.046000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.707061952395405058e+01,-4.964162410490984279e+00,-1.135073511282285175e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,7.955407348460498129e-01,2.493118502588158591e-01,-3.572146042179770387e+00
1.047000000000000000e+03,9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.476218103481452637e+01,-6.892170932439075415e+00,-1.205441489419576406e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.429290906218839474e+00,-3.785293287230620862e+00,-5.084805361918482092e+00
1.048000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.694163351760507652e+01,-6.181382114477434797e+00,-1.349205160178678753e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.458100193368968789e+00,-2.176507857053443740e+00,-5.533138449237707590e+00
1.049000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.520509210330391703e+01,-5.352790783338718050e+00,-1.053208119643462837e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.607506640804551301e+00,-2.114068870879436624e+00,-3.725898935472398588e+00
