时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),TRUKF估计位置X(m),TRUKF估计位置Y(m),TRUKF估计位置Z(m)
6.890000000000000000e+03,-5.313022792899492742e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.867280974717438767e+03,-1.919715653142646261e+03,2.410066606905158504e-01
6.891000000000000000e+03,-5.313022792899492742e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.874393400166465653e+03,-1.912796123373979754e+03,-7.503727615769090198e-02
6.892000000000000000e+03,-5.312929291627482598e+03,-3.283252599033277420e+03,0.000000000000000000e+00,1.881461424287879936e+03,-1.905871485115937276e+03,1.254287218267619575e-01
6.893000000000000000e+03,-5.312929291627482598e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.888555703212168737e+03,-1.898864970726750698e+03,-1.014517424270408863e-01
6.894000000000000000e+03,-5.312929291627482598e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.895558727837443030e+03,-1.891893558286756388e+03,1.330453636213752566e-01
6.895000000000000000e+03,-5.312835790355471545e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.902601172396304946e+03,-1.884834523247498964e+03,-1.029838205550393515e-01
6.896000000000000000e+03,-5.312835790355471545e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.909564077286438533e+03,-1.877799752268730572e+03,1.232626610420842206e-01
6.897000000000000000e+03,-5.312835790355471545e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.916547107627008245e+03,-1.870708345553043728e+03,8.589684720012406849e-02
6.898000000000000000e+03,-5.312835790355471545e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.923246357114699094e+03,-1.863860406199262798e+03,2.698097445868472000e-01
6.899000000000000000e+03,-5.312742289083460491e+03,-3.283363793960430939e+03,0.000000000000000000e+00,1.930205384084220213e+03,-1.856680171916962763e+03,-6.690485537248561099e-02
6.900000000000000000e+03,-5.312835790355471545e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.937118338180860519e+03,-1.849491967120601657e+03,5.199833081038932048e-02
6.901000000000000000e+03,-5.312835790355471545e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.944024855394254928e+03,-1.842259352131957485e+03,-2.759931668152331222e-02
6.902000000000000000e+03,-5.312742289083460491e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.950797344094324899e+03,-1.835111421285371080e+03,1.536102121007423549e-01
6.903000000000000000e+03,-5.312742289083460491e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.957378550884960760e+03,-1.828142531536414026e+03,2.696669800521708793e-01
6.904000000000000000e+03,-5.312742289083460491e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.964131566593540128e+03,-1.820898488525202083e+03,-1.654558115332249724e-01
6.905000000000000000e+03,-5.312742289083460491e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.970844941547902408e+03,-1.813646410140338503e+03,1.209690905877150169e-01
6.906000000000000000e+03,-5.312648787811448528e+03,-3.283474988886795472e+03,0.000000000000000000e+00,1.977477713919947291e+03,-1.806455983147317511e+03,1.890209224889418393e-01
6.907000000000000000e+03,-5.312648787811448528e+03,-3.283586183813948992e+03,0.000000000000000000e+00,1.984107364945328982e+03,-1.799211124441927041e+03,5.230767123267415775e-02
6.908000000000000000e+03,-5.312648787811448528e+03,-3.283586183813948992e+03,0.000000000000000000e+00,1.990703812055604658e+03,-1.791943874620785664e+03,1.717767841709127719e-01
6.909000000000000000e+03,-5.312648787811448528e+03,-3.283586183813948992e+03,0.000000000000000000e+00,1.997332989738843253e+03,-1.784590754461483357e+03,5.738350098544594408e-02
6.910000000000000000e+03,-5.312648787811448528e+03,-3.283586183813948992e+03,0.000000000000000000e+00,2.003923261322411463e+03,-1.777217249274120604e+03,8.664095889273946277e-03
6.911000000000000000e+03,-5.312555286538109613e+03,-3.283586183813948992e+03,0.000000000000000000e+00,2.010417171497050276e+03,-1.769897261125039449e+03,1.848023167474517059e-01
6.912000000000000000e+03,-5.312555286538109613e+03,-3.283586183813948992e+03,0.000000000000000000e+00,2.016959784523548478e+03,-1.762483376140792643e+03,1.047762041594238330e-01
6.913000000000000000e+03,-5.312555286538109613e+03,-3.283586183813948992e+03,0.000000000000000000e+00,2.023461214007025319e+03,-1.755048843313247289e+03,3.031069945420748063e-02
6.914000000000000000e+03,-5.312555286538109613e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.029958281028216561e+03,-1.747560962495821514e+03,4.071411490261510335e-02
6.915000000000000000e+03,-5.312461785266098559e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.036439067263014749e+03,-1.740034799903389057e+03,-4.717267991927566462e-02
6.916000000000000000e+03,-5.312461785266098559e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.042571035344741858e+03,-1.732852694601969461e+03,3.057158267450466038e-01
6.917000000000000000e+03,-5.312461785266098559e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.048854658519007899e+03,-1.725501690076228442e+03,2.357873076400383294e-01
6.918000000000000000e+03,-5.312461785266098559e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.055204576431985060e+03,-1.717991350015062835e+03,1.399699306814634059e-01
6.919000000000000000e+03,-5.312555286538109613e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.061564137792589008e+03,-1.710394636452663462e+03,6.015217480959436647e-02
6.920000000000000000e+03,-5.312461785266098559e+03,-3.283697378740313070e+03,0.000000000000000000e+00,2.067766427845171165e+03,-1.702930507973215299e+03,2.188623478943818035e-01
6.921000000000000000e+03,-5.312461785266098559e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.074048323260387406e+03,-1.695321457535379068e+03,7.361256285934716925e-02
6.922000000000000000e+03,-5.312461785266098559e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.079559051355608972e+03,-1.688561299863118165e+03,-5.153551425781397466e-01
6.923000000000000000e+03,-5.312461785266098559e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.085701234138221935e+03,-1.680971124285387305e+03,1.191567476209192400e-01
6.924000000000000000e+03,-5.312461785266098559e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.091853685008240518e+03,-1.673356300020193203e+03,1.615334558792612396e-01
6.925000000000000000e+03,-5.312368283994086596e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.097706380972315856e+03,-1.666080381538788288e+03,3.351345793337570100e-01
6.926000000000000000e+03,-5.312368283994086596e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.103808799576762340e+03,-1.658452492755555795e+03,1.943986729425820625e-01
6.927000000000000000e+03,-5.312368283994086596e+03,-3.283808573666676693e+03,0.000000000000000000e+00,2.109672118514133217e+03,-1.651059692764521060e+03,3.070216286884392964e-01
6.928000000000000000e+03,-5.312368283994086596e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.115760560451950823e+03,-1.643306202675097438e+03,5.930578802223854251e-02
6.929000000000000000e+03,-5.312368283994086596e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.121773295248583963e+03,-1.635564123773411893e+03,-7.907694734238936152e-02
6.930000000000000000e+03,-5.312368283994086596e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.127566601741091290e+03,-1.628034446659566129e+03,2.852989833501440864e-01
6.931000000000000000e+03,-5.312368283994086596e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.133422796472891150e+03,-1.620439003669157728e+03,2.584845958808070221e-01
6.932000000000000000e+03,-5.312368283994086596e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.139404559467725903e+03,-1.612552215507905657e+03,-1.404695819852427308e-01
6.933000000000000000e+03,-5.312274782722075543e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.144900511621258829e+03,-1.605228684168055224e+03,3.737791615050523597e-01
6.934000000000000000e+03,-5.312274782722075543e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.150694976067135030e+03,-1.597563797682203585e+03,2.532417449381541563e-01
6.935000000000000000e+03,-5.312274782722075543e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.156542162513549556e+03,-1.589733508272605604e+03,1.877758185647333822e-01
6.936000000000000000e+03,-5.312274782722075543e+03,-3.283919768593830213e+03,0.000000000000000000e+00,2.162396663514474767e+03,-1.581791689581840501e+03,-6.496542865708788972e-02
6.937000000000000000e+03,-5.312274782722075543e+03,-3.284030963520194746e+03,0.000000000000000000e+00,2.168178388157563859e+03,-1.573880782867976905e+03,1.713028594067143306e-01
6.938000000000000000e+03,-5.312368283994086596e+03,-3.284030963520194746e+03,0.000000000000000000e+00,2.173854452543330353e+03,-1.566095508356223263e+03,2.422900113089413998e-01
6.939000000000000000e+03,-5.312368283994086596e+03,-3.284030963520194746e+03,0.000000000000000000e+00,2.179633506906140610e+03,-1.558098908041861705e+03,9.252663070718604443e-02
6.940000000000000000e+03,-5.312368283994086596e+03,-3.284030963520194746e+03,0.000000000000000000e+00,2.185233745385278780e+03,-1.550283265242796460e+03,2.487459796464497885e-01
6.941000000000000000e+03,-5.312368283994086596e+03,-3.284030963520194746e+03,0.000000000000000000e+00,2.190684364726051626e+03,-1.542663554797748020e+03,3.227501760858519919e-01
