时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),ESKF估计位置X(m),ESKF估计位置Y(m),ESKF估计位置Z(m)
2.467000000000000000e+03,-1.441135109144937815e+03,1.629005675346297153e+02,0.000000000000000000e+00,-1.355708520355576638e+03,2.087673954448864038e+02,6.419327064785325110e-01
2.468000000000000000e+03,-1.442911633318463373e+03,1.612326436352220185e+02,0.000000000000000000e+00,-1.355785649634024821e+03,2.085940092549109295e+02,6.583188072436328975e-01
2.469000000000000000e+03,-1.444594656218649334e+03,1.596759146621781156e+02,0.000000000000000000e+00,-1.355864139629647752e+03,2.084180527258357927e+02,6.751185133664469040e-01
2.470000000000000000e+03,-1.446371180390845893e+03,1.580079907619802952e+02,0.000000000000000000e+00,-1.355953476650699486e+03,2.082336539174225436e+02,6.897993146425471789e-01
2.471000000000000000e+03,-1.448054203291031854e+03,1.564512617889364208e+02,0.000000000000000000e+00,-1.374655529614590705e+03,1.971380085328806047e+02,7.115755188567456369e-01
2.472000000000000000e+03,-1.449737226192546359e+03,1.547833378895286955e+02,0.000000000000000000e+00,-1.374704949058386092e+03,1.969343464011557501e+02,7.159690122500277365e-01
2.473000000000000000e+03,-1.451513750364743373e+03,1.531154139901209703e+02,0.000000000000000000e+00,-1.374749266866135031e+03,1.967332438430888431e+02,7.240756659694991271e-01
2.474000000000000000e+03,-1.453290274536939933e+03,1.514474900899231784e+02,0.000000000000000000e+00,-1.374796192853234061e+03,1.965292479240437444e+02,7.287014320197848782e-01
2.475000000000000000e+03,-1.454973297437125666e+03,1.498907611168792755e+02,0.000000000000000000e+00,-1.374849764514486878e+03,1.963260904208504485e+02,7.320181306151228862e-01
2.476000000000000000e+03,-1.456656320338640398e+03,1.482228372174715787e+02,0.000000000000000000e+00,-1.374895383084850437e+03,1.961284772897020900e+02,7.313573637832555541e-01
2.477000000000000000e+03,-1.458432844510836730e+03,1.465549133180638535e+02,0.000000000000000000e+00,-1.374957871219228991e+03,1.959290584956307839e+02,7.293742545231627350e-01
2.478000000000000000e+03,-1.460115867411022919e+03,1.448869894178660331e+02,0.000000000000000000e+00,-1.375020084046509055e+03,1.957347841474182530e+02,7.218161269415706016e-01
2.479000000000000000e+03,-1.461798890311208652e+03,1.432190655184583363e+02,0.000000000000000000e+00,-1.375077185229093402e+03,1.955433700374859427e+02,7.147139320885391722e-01
2.480000000000000000e+03,-1.463575414484734210e+03,1.416623365454144334e+02,0.000000000000000000e+00,-1.375143022936273383e+03,1.953605757190476879e+02,7.009315049440548728e-01
2.481000000000000000e+03,-1.465258437384919944e+03,1.399944126460067082e+02,0.000000000000000000e+00,-1.393538191626251319e+03,1.836593293707420571e+02,6.933319851785896271e-01
2.482000000000000000e+03,-1.466941460285105450e+03,1.383264887458089163e+02,0.000000000000000000e+00,-1.393591376058574269e+03,1.834425619132492216e+02,6.669970478549244186e-01
2.483000000000000000e+03,-1.468717984458631236e+03,1.366585648464011911e+02,0.000000000000000000e+00,-1.393654420090056647e+03,1.832288215841888075e+02,6.454953032269674651e-01
2.484000000000000000e+03,-1.470401007358816742e+03,1.349906409469934658e+02,0.000000000000000000e+00,-1.393729189241972335e+03,1.830088382538138490e+02,6.235442951542690126e-01
2.485000000000000000e+03,-1.472177531531013756e+03,1.333227170467956739e+02,0.000000000000000000e+00,-1.393809433700854470e+03,1.827958749623312826e+02,6.023139763318832163e-01
2.486000000000000000e+03,-1.473860554431199262e+03,1.316547931473879771e+02,0.000000000000000000e+00,-1.393899572245258469e+03,1.825839853667268642e+02,5.797728169942139020e-01
2.487000000000000000e+03,-1.475637078604725048e+03,1.299868692479802519e+02,0.000000000000000000e+00,-1.393999760804606012e+03,1.823693440886981705e+02,5.620388738112133131e-01
2.488000000000000000e+03,-1.477320101504910554e+03,1.284301402749363490e+02,0.000000000000000000e+00,-1.394107428044889730e+03,1.821640237768892803e+02,5.444457689482425922e-01
2.489000000000000000e+03,-1.479096625677107568e+03,1.267622163747385571e+02,0.000000000000000000e+00,-1.394216007050203416e+03,1.819599200384610356e+02,5.320499404649932096e-01
