时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
7.601000000000000000e+03,-5.333686574067091897e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.340789869033929790e+03,-3.275306852091718156e+03,-1.820487354396991067e-02
7.602000000000000000e+03,-5.333686574067091897e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340793172974121262e+03,-3.275312171008063160e+03,-1.937835560041360761e-02
7.603000000000000000e+03,-5.333780075339103860e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340796262086529168e+03,-3.275317636362085977e+03,-2.055750071941132850e-02
7.604000000000000000e+03,-5.333873576611114913e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340799134754179249e+03,-3.275323249737833976e+03,-2.174287573634396675e-02
7.605000000000000000e+03,-5.333873576611114913e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340801790229517792e+03,-3.275329011977808477e+03,-2.293398464726313646e-02
7.606000000000000000e+03,-5.333873576611114913e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340804229133107583e+03,-3.275334924577355196e+03,-2.413023648807777199e-02
7.607000000000000000e+03,-5.333967077883126876e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340806450249481713e+03,-3.275340988094611021e+03,-2.533277220992781464e-02
7.608000000000000000e+03,-5.333967077883126876e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340808451652195799e+03,-3.275347203843182797e+03,-2.654181854423548481e-02
7.609000000000000000e+03,-5.333967077883126876e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340810233431839151e+03,-3.275353573426771618e+03,-2.775576878918696588e-02
7.610000000000000000e+03,-5.334060579155137020e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.340811795690988220e+03,-3.275360097475342627e+03,-2.897551831173410253e-02
7.611000000000000000e+03,-5.334154080427148074e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341077701462132609e+03,-3.275393639350580543e+03,-1.304712780261967596e-02
7.612000000000000000e+03,-5.334154080427148074e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341081192921024922e+03,-3.275399355469304282e+03,-1.390592287955452061e-02
7.613000000000000000e+03,-5.334154080427148074e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341084488799348037e+03,-3.275405191797548468e+03,-1.476818770385508739e-02
7.614000000000000000e+03,-5.334247581700488809e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341087588521357247e+03,-3.275411148480494376e+03,-1.563410971702089425e-02
7.615000000000000000e+03,-5.334247581700488809e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341090490795282676e+03,-3.275417226980525811e+03,-1.650475353683172886e-02
7.616000000000000000e+03,-5.334247581700488809e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341093194481727551e+03,-3.275423427563564474e+03,-1.737972123662163276e-02
7.617000000000000000e+03,-5.334341082972498953e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341095699942681676e+03,-3.275429750582698034e+03,-1.825805025329989978e-02
7.618000000000000000e+03,-5.334341082972498953e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341098006422133039e+03,-3.275436196818891403e+03,-1.914015897781951026e-02
7.619000000000000000e+03,-5.334434584244510006e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341100112174935930e+03,-3.275442766356978609e+03,-2.002724482940136663e-02
7.620000000000000000e+03,-5.334434584244510006e+03,-3.267574114376474881e+03,0.000000000000000000e+00,-5.341102016844783066e+03,-3.275449460018027821e+03,-2.091853497812182217e-02
7.621000000000000000e+03,-5.334434584244510006e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341385206682855824e+03,-3.275506794798383453e+03,-1.174584841260304865e-02
7.622000000000000000e+03,-5.334621586788532113e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341390816638831893e+03,-3.275512500543798524e+03,-1.178155067039963338e-02
7.623000000000000000e+03,-5.334621586788532113e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341396306239916157e+03,-3.275518280966673046e+03,-1.181768898946836122e-02
7.624000000000000000e+03,-5.334621586788532113e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341401675954166421e+03,-3.275524135831979947e+03,-1.185376687402511786e-02
7.625000000000000000e+03,-5.334715088060543167e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341406925650819176e+03,-3.275530064905509789e+03,-1.188924844834486627e-02
7.626000000000000000e+03,-5.334715088060543167e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341412055057018733e+03,-3.275536068700608666e+03,-1.192499097240689448e-02
7.627000000000000000e+03,-5.334715088060543167e+03,-3.267685309303628856e+03,0.000000000000000000e+00,-5.341417063531527674e+03,-3.275542147513544478e+03,-1.196142563552653887e-02
